depth	number_of_games
0	1153
1	1153
2	1153
3	1153
4	1153
5	1153
6	1153
7	1153
8	1153
9	1153
10	1153
11	1153
12	1153
13	1153
14	1153
15	1153
16	1152
17	1150
18	1150
19	1150
20	1150
21	1150
22	1150
23	1149
24	1149
25	1147
26	1145
27	1144
28	1143
29	1143
30	1143
31	1142
32	1141
33	1139
34	1139
35	1138
36	1136
37	1134
38	1131
39	1130
40	1128
41	1127
42	1124
43	1119
44	1114
45	1109
46	1106
47	1103
48	1099
49	1095
50	1091
51	1086
52	1084
53	1075
54	1069
55	1060
56	1054
57	1043
58	1039
59	1030
60	1023
